"CodigoEstacion,""CodigoSensor"",""FechaObservacion"",""ValorObservado"",""NombreEstacion"",""Departamento"",""Municipio"",""ZonaHidrografica"",""Latitud"",""Longitud"",""DescripcionSensor"",""UnidadMedida"""
"0054025010,""0240"",""2024 Jan 01 08:00:00 PM"",""6,7"",""SAN JOSE PALMAR"",""CHOCÓ"",""NÓVITA"",""SAN JUÁN"",""4,89808333"",""-76,67666667"",""PRECIPITACIÓN"",""mm"""
"0054025010,""0240"",""2024 Jan 01 05:10:00 PM"",""6,7"",""SAN JOSE PALMAR"",""CHOCÓ"",""NÓVITA"",""SAN JUÁN"",""4,89808333"",""-76,67666667"",""PRECIPITACIÓN"",""mm"""
"0048015050,""0257"",""2024 Jan 01 11:58:00 AM"",""0,1"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""GPRS - PRECIPITACIÓN"",""mm"""
"0052055090,""0240"",""2024 Jan 01 12:30:00 PM"",""0,1"",""SINDAGUA"",""NARIÑO"",""TANGUA"",""PATÍA"",""1,10758333"",""-77,38936111"",""PRECIPITACIÓN"",""mm"""
"0025025380,""0240"",""2024 Jan 01 01:20:00 PM"",""1,3"",""SAN BENITO"",""SUCRE"",""SAN BENITO ABAD"",""BAJO MAGDALENA- CAUCA -SAN JORGE"",""9,16388889"",""-75,04472222"",""PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 03:20:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 02:06:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
"0054025010,""0240"",""2024 Jan 01 06:20:00 PM"",""6,7"",""SAN JOSE PALMAR"",""CHOCÓ"",""NÓVITA"",""SAN JUÁN"",""4,89808333"",""-76,67666667"",""PRECIPITACIÓN"",""mm"""
"0048015050,""0257"",""2024 Jan 01 12:40:00 PM"",""0,2"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""GPRS - PRECIPITACIÓN"",""mm"""
"0048015050,""0240"",""2024 Jan 01 05:30:00 PM"",""1,37"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""PRECIPITACIÓN"",""mm"""
"0035217060,""0240"",""2024 Jan 01 06:20:00 PM"",""0,3"",""PLAYON EL"",""CASANARE"",""NUNCHÍA"",""META"",""5,5405"",""-72,23172222"",""PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 04:34:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
